Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,good,Okay ,good,okay,good,Good,okay,Good,Okay,Good ,don't remember ,okay
2,good,Okay ,okay,good,good,Okay,okay,Okay,Okay,Good,don't remember ,good
3,good,Okay ,okay,bad,good,good,okay,Okay,Good,Good,don't remember ,good
4,good,Okay ,okay,good,okay,Okay,good,Okay,don't remember ,Good,don't remember ,okay
5,okay,Good ,Good,okay,okay-good,Okay,good,Okay,don't remember ,Good,don't remember ,good
6,good,okay,Good,okay,Okay ,okay-good,good,okay,okay,Good,don't remember ,bad
7,good,okay,Good,okay,Good,Good,okay,bad,good,Good,don't remember ,okay
8,good,great,great,okay,Good,okay-good,okay-good,okay,okay,Good,don't remember ,okay
9,good,good,great,good-okay,Good,Okay,okay,don't remember ,okay,Good,don't remember ,Good
10,okay,okay,good,good,Okay ,Good,Good,don't remember ,don't remember ,Okay,don't remember ,Good
11,okay,good,good,good,Good,Good,Good,okay,okay,Okay,don't remember ,Okay
12,good,okay,okay,great,Okay ,Okay,Good,good,dont remember,Great,don't remember ,Good
13,good,okay,good,good,Okay ,Bad,Good,great,dont remember,Good,Good,Good
14,okay,good,good,great,Okay,Okay,Good,don't remember ,dont remember,Okay,Great,Good
15,good,good,good,good,don't remember ,don't remember ,good,don't remember ,dont remember,Good,Okay,Good
16,good,great,dont remember,dont remember,don't remember ,don't remember ,don't remember ,don't remember ,dont remember,Okay,Okay,Good
17,good,great,dont remember,dont remember,don't remember ,don't remember ,don't remember ,don't remember ,dont remember,Okay,Okay,Okay
18,Good ,Great,dont remember,dont remember,don't remember ,don't remember ,don't remember ,don't remember ,dont remember,Bad,Okay,Good
19,good,good,dont remember,dont remember,don't remember ,Good,don't remember ,don't remember ,dont remember,Good,Good,Good
20,Good ,good,dont remember,dont remember,don't remember ,Great,don't remember ,don't remember ,dont remember,Okay,Good,Good
21,Okay ,good,dont remember,dont remember,don't remember ,okay-good,good,don't remember ,dont remember,Good,Good,Good
22,dont remember,great,dont remember,dont remember,don't remember ,Good,okay,don't remember ,dont remember,Good,Good,Okay
23,Great,good,dont remember,dont remember,don't remember ,Okay,okay,don't remember ,dont remember,Okay,Good,Good
24,dont remember,dont remember,dont remember,good,don't remember ,Okay,good,don't remember ,Okay,Okay,Good,Good
25,Great ,dont remember,dont remember,Good,don't remember ,don't remember ,don't remember ,don't remember ,Good,Good,Okay,Okay
26,Good ,dont remember,dont remember,Okay ,don't remember ,don't remember ,don't remember ,don't remember ,Good,Okay,Bad,Good
27,Okay ,okay,dont remember,Okay ,don't remember ,Okay,Okay,don't remember ,Good,Okay,Bad,Good
28,Okay ,good,okay,Okay,don't remember ,Good,good,don't remember ,Good,Good,Good,Great
29,Good,good,good,good,don't remember ,Good,good,don't remember ,Good,Good,Okay,Good
30,Good ,,good,okay > good,don't remember ,Okay-good,Okay,don't remember ,Good,,Bad,Great
31,Okay ,,okay,,,,Okay,don't remember ,,,,Great