Day of Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,truthful,Truthful ,don't remember,Truthful,Truthful,Truthful,Truthful,Don't remember ,Truthful ,Truthful,Don't remember,Truthful
2,truthful,Truthful ,don't remember,Truthful,Truthful,Truthful,Truthful,Don't remember ,Truthful ,Truthful,Don't remember,Truthful
3,truthful,Truthful ,don't remember,Truthful,truthful,Truthful,Truthful,Truthful,Truthful ,Truthful,Don't remember,Don't remember
4,truthful,Truthful ,don't remember,Truthful,truthful,Truthful,Truthful,Truthful,Truthful ,Truthful,Don't remember,Don't remember
5,truthful,Lied about school to payal,don't remember,lied about sickness,truthful,Truthful,Truthful,Truthful,Truthful ,Truthful,Don't remember,Don't remember
6,don't remember,truthful ,don't remember,Truthful,truthful,Truthful,Truthful,Truthful,Truthful ,Truthful,Don't remember,Truthful
7,don't remember,truthful,Truthful,don't remember,truthful,Truthful ,Truthful,Truthful,Truthful,Truthful,Don't remember,Don't remember
8,don't remember,Truthful,Truthful,don't remember,truthful,Truthful ,Truthful,Don't remember ,Lied at work for vacation,Truthful,Don't remember,Truthful
9,don't remember,Truthful,Truthful,don't remember,truthful,Truthful ,Truthful,Don't remember ,Don't remember ,Truthful,Don't remember,Truthful
10,don't remember,truthful,Truthful,Truthful,Lied about how the key could have been lost,Truthful ,Truthful,Don't remember ,Don't remember ,Don't remember,Don't remember,Truthful
11,don't remember,truthful,Truthful,Truthful,Truthful ,Truthful ,Lied,Truthful,Don't remember ,Don't remember,Don't remember,Truthful
12,don't remember,truthful,Truthful,Truthful,Truthful ,Truthful ,Truthful,Truthful,Don't remember ,Truthful,Don't remember,Truthful
13,lied,dont remember,Truthful,Truthful,don't remember,Truthful ,Lied,Truthful,Don't remember ,Truthful,Truthful,Don't remember
14,truthful,dont remember,Truthful,Truthful,don't remember,Truthful ,Lied,Lied,Don't remember ,Truthful,Truthful,Truthful
15,truthful,truthful,Truthful,Truthful,don't remember,Truthful ,Truthful ,Don't remember ,Don't remember ,Truthful,Truthful,Truthful
16,truthful,truthful,don't remember,don't remember,don't remember,Truthful ,Truthful ,Don't remember ,Don't remember ,Truthful,Truthful,Truthful
17,truthful,truthful,don't remember,don't remember,don't remember,Truthful ,Truthful ,Don't remember ,Don't remember ,Truthful,Lied,Truthful
18,truthful,truthful,don't remember,don't remember,don't remember,Truthful ,Truthful ,Don't remember ,Don't remember ,Lied,Truthful,Truthful
19,truthful,truthful,don't remember,don't remember,don't remember,Truthful ,Truthful ,Don't remember ,Don't remember ,Don't remember,Truthful,Truthful
20,truthful,truthful,don't remember,don't remember,don't remember,Lied,Truthful ,Don't remember ,Lied,Don't remember,Truthful,Truthful
21,Truthful mostly,truthful,don't remember,don't remember,don't remember,Truthful,Truthful ,Don't remember ,Lied,Don't remember,Don't remember,Lied
22,Truthful mostly,truthful,don't remember,don't remember,don't remember,Maybe Lied,Truthful ,Don't remember ,Lied,Truthful,Don't remember,Truthful
23,truthful,truthful,don't remember,don't remember,don't remember,Truthful,Truthful ,Don't remember ,Truthful,Truthful,Don't remember,Truthful
24,Small lies to agree with others ,dont remember,don't remember,don't remember,Truthful,Truthful,Truthful ,Don't remember ,Truthful,Truthful,Don't remember,Truthful
25,Truthful ,dont remember,don't remember,don't remember,Truthful,Truthful,Truthful ,Don't remember ,Truthful,Don't remember,Don't remember,Truthful
26,Truthful ,dont remember,don't remember,don't remember,Truthful,Don't remember ,Lied,Don't remember ,Truthful,Don't remember,Don't remember,Truthful
27,Lied about sickness ,dont remember,don't remember,Truthful ,Truthful,Don't remember ,Lied,Don't remember ,Truthful,Don't remember,Don't remember,Truthful
28,Truthful ,dont remember,don't remember,Truthful ,Truthful,Don't remember ,Lied,Don't remember ,Lied,Truthful,Truthful,Truthful
29,Truthful ,dont remember,don't remember,Truthful,Truthful,Don't remember ,Truthful ,Don't remember ,Truthful,Truthful,Truthful,Lied
30,Truthful ,,don't remember,Truthful,Truthful,Don't remember ,Truthful,Don't remember ,Don't remember,Don't remember,Don't remember,Truthful
31,Truthful ,,Truthful,,Truthful,Don't remember ,Lied,Don't remember ,,Don't remember,,Truthful